case,scenario,rate,outcome,n,v1_median,v2_median,v1_cv_pct,v2_cv_pct,pct_change,ci95,note
C1,S1,5500,success_tps,3,5499.807343203018,5500.006085774357,0.003222485938587042,4.148749328201869e-06,0.0033682017308800383,"[2.7623502218965257e-05, 0.006457112907387597]",horizon higher (better); n=3<5 (below protocol baseline)
C1,S1,5500,p50_us,3,728,551,0.7792929241312007,0.18148820326678766,-24.484624090789953,"[-25.271739130434778, -23.862068965517246]",horizon lower (better); n=3<5 (below protocol baseline)
C1,S1,5500,p95_us,3,14239,3617,40.289336457251814,0.4480959309981389,-78.9871211673254,"[-86.41302290365323, -73.11780007432182]",horizon lower (better); n=3<5 (below protocol baseline)
C1,S1,5500,p99_us,3,31935,4379,68.64905707064212,2.126320556721876,-89.79333930125603,"[-95.18043495578746, -84.0129969698076]",horizon lower (better); n=3<5 (below protocol baseline)
C1,S1,5500,p999_us,3,142463,9815,54.17335346795689,6.865846817378051,-92.76835371907084,"[-96.16503431653449, -85.68597320159125]",horizon lower (better); n=3<5 (below protocol baseline)
C1,S1,5500,error_rate,3,0,0,,,,,insufficient pairs for effect/CI
C1,S1,5500,read_iops,3,3087.5199474778833,0,4.551892407623104,,,,
C1,S1,5500,write_iops,3,1490.277701980632,2639.7072432461714,8.026908100186136,35.11115143814577,,,
C1,S1,5500,bp_hit,3,0.9729954191433607,1,0.15803817376827328,0.0,,,
C1,S1,5500,service_p99_us,3,29455,4215,60.06142075735212,2.0377267715557004,-89.18503744651964,"[-94.40153645654709, -84.29992177896972]",horizon lower (better); n=3<5 (below protocol baseline)
