case,scenario,rate,outcome,n,v1_median,v2_median,v1_cv_pct,v2_cv_pct,pct_change,ci95,note
C4,S1,5000,success_tps,3,4999.9926133843965,4999.985624019664,7.998881164224013e-05,0.0007963891105392234,-0.0003049346545158649,"[-0.0012334804759817075, 0.00032234241060802304]",CI includes 0; n=3<5 (below protocol baseline)
C4,S1,5000,p50_us,3,3823,3991,4.2740625240423435,1.168271391900123,1.3493937183734817,"[-2.9189978107516446, 4.6037143604499065]",CI includes 0; n=3<5 (below protocol baseline)
C4,S1,5000,p95_us,3,22911,23599,0.7569717938252701,1.0566017211324257,2.890720986263995,"[1.0431607771547835, 4.093335097701911]",primary higher (worse); n=3<5 (below protocol baseline)
C4,S1,5000,p99_us,3,29007,30399,2.3629752814449745,7.194183200206928,8.032299738619741,"[4.798841658909914, 14.690379841534318]",primary higher (worse); n=3<5 (below protocol baseline)
C4,S1,5000,p999_us,3,89279,204287,55.554003929919055,42.3722318261465,123.50782180445256,"[31.35822632604377, 234.3395423335835]",primary higher (worse); n=3<5 (below protocol baseline)
C4,S1,5000,error_rate,3,0,0,,,,,insufficient pairs for effect/CI
C4,S1,5000,read_iops,3,603.2509367628077,1775.8521216308263,0.9497478002564691,2.1318117144115933,,,
C4,S1,5000,write_iops,3,2232.2562940445,2217.76628257312,0.8351099618703914,0.542720178301812,,,
C4,S1,5000,bp_hit,3,0.9863074454435065,0.9761055159163907,0.01428949646246627,0.042169420275944086,,,
C4,S1,5000,service_p99_us,3,28511,29311,1.5666742254102979,5.343742060043836,5.781343928721405,"[2.8059345515765832, 10.821684991849057]",primary higher (worse); n=3<5 (below protocol baseline)
C4,S1,5000,burst_recovery_s,0,,,,,,,insufficient pairs for effect/CI
C4,S1,5000,drop_rate,3,0,0,,,,,insufficient pairs for effect/CI
